FID,the_geom,FIELD_ID,FLD_NAME,FLD_NAME2,REG_CODE,REG_NAME,COUNTRY,STATE,LAT_DD,LON_DD,LOC_ACCY,ON_OFF_LOC,DISC_YR,FIELD_TYPE,SIZE_CLASS,EUR_MMBOE,RSVS_MMBOE,EURO_MMBO,EURG_TCFG,EURC_MMBO,HL10_MMBOE,HL20_MMBOE,HL50_MMBOE,PRV_USGS_C,PRV_USGS_N,BSN_TELL_C,BSN_TELL_N,BSN_BALLY,RSVR_NAME,RSVR_LITH1,RSVR_LITH2,ERA,SYSTEM,SERIES,STAGE,AGE_CODE,RSVR_DEPFT,RSVR_DEPKM,TRAP_CLASS,TRAP_TYPE,TRAP_DESC,REFERENCES,COMMENTS
giant_oil_and_gas_fields_of_the_world_co_yxz.285,POINT (54.283333 51.633333),283,Orenburg,"Krasnyy Kholm, Krasnoyarskoye",D,EASTERN EUROPE AND FORMER USSR,Russia,,51.633333,54.283333,B,Onshore,1966,Gas,Supergiant,11165,3462.693,700,62.79,-99999.99,802.025,2992.424,6593.629,1015,Volga-Ural Region,BS000000074,PRECASPIAN,TYPE 2,,CARBONATE,,Paleozoic,Permian,Guadalupian,,PZ_PR_GUA,5300,1.62,Structural,,Sub-salt structures,"1, 2, 111",
giant_oil_and_gas_fields_of_the_world_co_yxz.286,POINT (108.684692 29.133397),284,Shiyoukou - Tungchi,,G,ASIA AND OCEANIA,China,,29.133397,108.684692,B,Onshore,1955,Gas,Giant,1300,313.58,-99999.99,7.8,-99999.99,43.572,238,659.169,3161,Yunnan Guizhou Hubei Fold Belt,BS000000529,GUANXI - GUIZHOU,TYPE 3,,CARBONATE,,Mesozoic,Triassic,Middle Triassic,,MZ_TR_M,2461,0.75,Structural,Anticline,Surface anticline,"1, 2, 236",
giant_oil_and_gas_fields_of_the_world_co_yxz.287,POINT (108.733333 37.766667),285,Jingbian-Hengshan,,G,ASIA AND OCEANIA,China,,37.766667,108.733333,B,Onshore,1985,Gas,Giant,500,259.034,-99999.99,3,-99999.99,134.009,258.852,384.24,3128,Ordos Basin,BS000000248,ORDOS,TYPE 1,,CARBONATE,dolomite,Paleozoic,Cambrian,Furongian,,PZ_CM_FUR,-99999.99,-99999.99,Structural,Anticline,Surface structure,"3, 38, 51, 238",
giant_oil_and_gas_fields_of_the_world_co_yxz.288,POINT (-111.073908 41.052517),286,Anschutz Ranch East,,A,NORTH AMERICA,United States,USA - Utah,41.052517,-111.073908,A,Onshore,1978,Gas,Giant,846.667,358.036,180,4,-99999.99,139.701,343.919,590.487,5036,Wyoming Thrust Belt,BS000000523,GREAT BASIN AND RANGE,TYPE 2,,CARBONATE,limestone,Mesozoic,Jurassic,Lower Jurassic,,MZ_JR_L,6800,2.07,Structural,Anticline,Thrust fold,"2, 38, 570, 571",
giant_oil_and_gas_fields_of_the_world_co_yxz.289,POINT (-110.807456 41.444861),287,Whitney Canyon,Carter Creek,A,NORTH AMERICA,United States,USA - Wyoming,41.444861,-110.807456,A,Onshore,1977,Gas,Giant,996.667,410.012,115,5.29,-99999.99,153.441,391.062,685.533,5036,Wyoming Thrust Belt,BS000000523,GREAT BASIN AND RANGE,TYPE 2,,CARBONATE,limestone,Paleozoic,Carboniferous,Mississippian,,PZ_CB_MS,9000,2.74,Structural,Anticline,Thrust fold,"2, 6, 38, 569",
giant_oil_and_gas_fields_of_the_world_co_yxz.290,POINT (122.473651 -1.388029),288,Senoro,,G,ASIA AND OCEANIA,Indonesia,,-1.388029,122.473651,B,Onshore,1999,Gas,Giant,598.333,494.848,-99999.99,3.5,15,423.117,503.155,558.273,3829,Sulawesi Accretionary Prism,BS000000189,TOMORI,TYPE 1,,CARBONATE,,Cenozoic,Neogene,Miocene,,CZ_NG_MIO,6106,1.86,Unknown,,,947,
giant_oil_and_gas_fields_of_the_world_co_yxz.291,POINT (10.5 37.5),289,Sidi Abderrahman,Cap Bon,F,AFRICA,Tunisia,,37.5,10.5,B,Offshore,1970,Gas,Giant,916.667,313.766,-99999.99,5.5,-99999.99,86.881,282.208,572.209,2048,Pelagian Basin,BS000000002,ATLAS,TYPE 1,,CARBONATE,limestone,Cenozoic,Neogene,Miocene,,CZ_NG_MIO,-99999.99,-99999.99,Unknown,,,"2, 469",
giant_oil_and_gas_fields_of_the_world_co_yxz.292,POINT (64.85 38.85),290,Zevardy,,D,EASTERN EUROPE AND FORMER USSR,Uzbekistan,,38.85,64.85,B,Onshore,1968,Gas,Giant,830.85,270.559,-99999.99,4.642,57,68.556,238.662,504.46,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,,CARBONATE,limestone,Mesozoic,Jurassic,Upper Jurassic,,MZ_JR_U,8520,2.6,Unknown,,,"2, 3, 38",
giant_oil_and_gas_fields_of_the_world_co_yxz.293,POINT (46.6075 33.029722),291,Azar field,Anaran Block,E,MIDDLE EAST,Iran,,33.029722,46.6075,B,Onshore,2005,Oil,Giant,1000,1000,1000,-99999.99,-99999.99,1000,1000,1000,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,,Mesozoic,Triassic,Upper Triassic,,MZ_TR_U,-99999.99,-99999.99,Unknown,,,"1026, 1027",
giant_oil_and_gas_fields_of_the_world_co_yxz.982,POINT (-2.9 4.55),980,Tulley Owo-1,,F,AFRICA,Ghana,,4.55,-2.9,D,Offshore,2010,Oil,Giant,500,500,500,-99999.99,-99999.99,500,500,500,7183,Gulf of Guinea,BS000000087,COTE D'IVOIRE,TYPE 1,,UNKNOWN,,Unknown,,,,,12762,3.89,Unknown,,,1190,
giant_oil_and_gas_fields_of_the_world_co_yxz.294,POINT (56.072517 56.506189),292,Pavlovskoye,Perm,D,EASTERN EUROPE AND FORMER USSR,Russia,,56.506189,56.072517,A,Onshore,1939,Oil,Giant,500,87.071,500,-99999.99,-99999.99,5.53,52.581,203.102,1015,Volga-Ural Region,BS000000801,VOLGA - URALS,TYPE 2,,CARBONATE,,Paleozoic,Carboniferous,Mississippian,,PZ_CB_MS,-99999.99,-99999.99,Unknown,,,"38, 641",
giant_oil_and_gas_fields_of_the_world_co_yxz.295,POINT (45.797308 15.572753),293,Alif,,E,MIDDLE EAST,Yemen,,15.572753,45.797308,A,Onshore,1985,Oil,Giant,900,466.261,900,-99999.99,-99999.99,241.216,465.934,691.633,2004,Ma'Rib-Al Jawf Basin,BS000000292,SAB'ATAYN,TYPE 1,,IGNEOUS,granite,Mesozoic,Cretaceous,Lower Cretaceous,,MZ_CT_L,5742,1.75,Structural,Fault Block,Reactivated fault blocks,"38, 832",
giant_oil_and_gas_fields_of_the_world_co_yxz.296,POINT (125.283333 46.1),294,Qingshen,Zhaozhou Province,G,ASIA AND OCEANIA,China,,46.1,125.283333,B,Onshore,2005,Gas,Giant,1250,1250,-99999.99,7.5,-99999.99,1250,1250,1250,3144,Songliao Basin,BS000000245,SONGLIAO,TYPE 3,,IGNEOUS,lava,Mesozoic,Triassic,Lower Triassic,,MZ_TR_L,-99999.99,-99999.99,Unknown,,,"1081, 1082,1141",
